"Now Shopping by","Filtrovať podľa"
"Previous","Predchádzajúca"
"Remove","Odstrániť"
"Remove This Item","Odstrániť túto položku"
"Shop By","Nakupovať podľa"
"Clear All","Vymazať všetky"
"Shopping Options","Nákupné možnosti"
"Welcome to %store_name","Vitajte v %store_name"
"%name,","%name,"
"Welcome to %store_name.","Vitajte na %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Pre prihlásenie sa na naších stránkach, zadajte údaje v procesu objednávky alebo na stránke <a href=""%customer_url"">Môj účet</a>:"
"Email:","E-mail:"
"Password:","Heslo:"
"Password you set when creating account","Heslo nastavené pri vytváraní účtu"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Zabudli ste heslo k vášmu účtu? Kliknutím na následujúci odkaz ho <a href=""%reset_url"">resetujete</a>."
"When you sign in to your account, you will be able to:","Po prihlásení do svojho účtu, budete môcť:"
"Quick Checkout","Objednať bez registrácie"
"Proceed through checkout faster","Rýchľejšie objednanie"
"Order Status","Stav objednávky"
"Check the status of orders","Skontrolovať stavy objednáviek"
"Manage Addresses","Upraviť adresy"
"Store alternative addresses","Uloženie alternatívnych adries"
"For shipping to multiple family members and friends","Pre doručenie ďalším členom rodiny a priateľom"
"Order History","História objednávok"
"View past orders","Zobraziť staršie objednávky"
"Footer","Pätička"
"<a href=%url_about_us>About Us</a>","<a href=%url_about_us>About Us</a>"
"<a href=url_customer_service>Customer Service</a>","<a href=url_customer_service>Customer Service</a>"
"<a href=""tel:%store_phone"">%store_phone</a>","<a href=""tel:%store_phone"">%store_phone</a>"
"Hours of Operation:<br /><span class=""no-link"">%store_hours</span>.","Hours of Operation:<br /><span class=""no-link"">%store_hours</span>."
"Credit memo for your %store_name order","Credit memo for your %store_name order"
"Thank you for your order from %store_name.","Ďakujeme vám za vašu objednávku od %store_name."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Stav svojej objednávky môžete skontrolovať po <a href=""%account_url"">prihlásení do vášho účtu</a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>.","Ak máte otázky týkajúce sa vašej objednávky, môžete nám poslať email na <a href=""mailto:%store_email"">%store_email</a>."
"Your Credit Memo #%creditmemo_id for Order #%order_id","Váš úver Záznam kreditu #%creditmemo_id pre objednávku #%order_id"
"Billing Info","Fakturačné informácie"
"Shipping Info","Shipping Info"
"Payment Method","Spôsob platby"
"Shipping Method","Shipping Method"
"Update to your %store_name credit memo","Update to your %store_name credit memo"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","Vaša objednávka #%increment_id bola aktualizovaná na stav <strong>%order_status</strong>."
"Invoice for your %store_name order","Faktúra za Vašu %store_name objednávku"
"Your Invoice #%invoice_id for Order #%order_id","Vaša faktúra #%invoice_id pre objednávku #%order_id"
"Update to your %store_name invoice","Aktualizácia Vašej %store_name faktúry"
"Your %store_name order confirmation","Potvrdenie Vašej %store_name objednávky"
"%customer_name,","%customer_name,"
"Once your package ships we will send you a tracking number.","Akonáhle Váš balík odošleme, zašleme Vám sledovacie číslo."
"Your Order <span class=""no-link"">#%increment_id</span>","Vaša objednávka <span class=""no-link"">#%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Vytvorená <span class=""no-link"">%created_at</span>"
"Update to your %store_name order","Aktualizácia Vašej %store_name objednávky"
"Your %store_name order has shipped","Vaša %store_name objednávka bola odoslaná"
"Your shipping confirmation is below. Thank you again for your business.","Nižšie je Vaša potvrdenie o odoslaní. Děkuji za vaše podnikanie."
"Your Shipment #%shipment_id for Order #%order_id","Odosolanie #%shipment_id pre objednávku #%order_id"
"Update to your %store_name shipment","Aktualizujte vašu zásielku %store_name"
"Account Dashboard","Account Dashboard"
"Address Book","Address Book"
"Account Information","Account Information"
"About Us","About Us"
"Customer Service","Customer Service"
"My Account","My Account"
