"Now Shopping by","Handler nå etter"
"Previous","Forrige"
"Remove","Fjern"
"Remove This Item","Fjern denne varen"
"Shop By","Handle etter"
"Clear All","Tøm alt"
"Shopping Options","Butikkalternativer"
"Welcome to %store_name","Velkommen til %store_name"
"%name,","%name,"
"Welcome to %store_name.","Velkommen til %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","For å logge deg på nettstedet vårt, kan du bruke disse opplysningene i kassen eller på siden <a href=""%customer_url""> Min konto</a>:"
"Email:","E-Post:"
"Password:","Passord:"
"Password you set when creating account","Passordet du oppga når du opprettet kontoen"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Glemt passordet? Klikk <a href=""%reset_url"">her</a> for å tilbakestille det."
"When you sign in to your account, you will be able to:","Når du logger inn på kontoen din, vil du kunne:"
"Quick Checkout","Hurtigkasse"
"Proceed through checkout faster","Fortsett gjennom kassen raskere"
"Order Status","Bestillingsstatus"
"Check the status of orders","Kontrollere statusen for ordrer"
"Manage Addresses","Administrere adresser"
"Store alternative addresses","Lagre alternative adresser"
"For shipping to multiple family members and friends","For sending til flere familiemedlemmer og venner"
"Order History","Ordrehistorikk"
"View past orders","Vis tidligere ordrer"
"Footer","Bunntekst"
"<a href=%url_about_us>About Us</a>","<a href=%url_about_us>Om oss</a>"
"<a href=url_customer_service>Customer Service</a>","<a href=url_customer_service>Kundeservice</a>"
"<a href=""tel:%store_phone"">%store_phone</a>","<a href=""tel:%store_phone""> %store_phone</a>"
"Hours of Operation:<br /><span class=""no-link"">%store_hours</span>.","Åpningstider: < br / ><span class=""no-link"">%store_hours</span>."
"Credit memo for your %store_name order","Kreditnota for bestillingen %store_name"
"Thank you for your order from %store_name.","Takk for bestillingen din fra %store_name."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Du kan sjekke statusen for bestillingen din ved å <a href=""%account_url""> logge inn på din konto</a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>.","Hvis du har spørsmål om bestillingen, kan du sende oss epost på <a href=""mailto:%store_email""> %store_email</a>."
"Your Credit Memo #%creditmemo_id for Order #%order_id","Din kreditnota #%creditmemo_id for ordre #%order_id"
"Billing Info","Faktureringsinformasjon"
"Shipping Info","Fraktinformasjon"
"Payment Method","Betalingsmåte"
"Shipping Method","Forsendelsesmåte"
"Update to your %store_name credit memo","Oppdatering til din %store_name kreditnota"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","Din ordre #%increment_id har blitt oppdatert med statusen <strong>%order_status</strong>."
"Invoice for your %store_name order","Faktura for bestillingen %store_name"
"Your Invoice #%invoice_id for Order #%order_id","Din faktura #%invoice_id for ordre #%order_id"
"Update to your %store_name invoice","Oppdatering til din faktura fra %store_name"
"Your %store_name order confirmation","Ordrebekreftelse for %store_name"
"%customer_name,","%customer_name,"
"Once your package ships we will send you a tracking number.","Når pakken din sendes sender vi deg et sporingsnummer."
"Your Order <span class=""no-link"">#%increment_id</span>","Din ordre <span class=""no-link""> #%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Plassert den <span class=""no-link"">%created_at</span>"
"Update to your %store_name order","Oppdatering til din %store_name ordre"
"Your %store_name order has shipped","Din %store_name ordre har blitt sendt"
"Your shipping confirmation is below. Thank you again for your business.","Bekreftelse for frakt er under. Takk for handelen."
"Your Shipment #%shipment_id for Order #%order_id","Din forsendelse #%shipment_id for ordre #%order_id"
"Update to your %store_name shipment","Oppdatering til din %store_name forsendelse"
"Account Dashboard","Kontooversikt"
"Address Book","Adressebok"
"Account Information","Kontoinformasjon"
"About Us","Om oss"
"Customer Service","Kundeservice"
"My Account","Min konto"
