"Page not found.","Pagina niet gevonden."
"Any message","Any message"
"Feed","Feed"
"Miscellaneous Feeds","Diverse Feeds"
"Get Feed","Feed opvragen"
"RSS Feeds Section","RSS Feeds Sectie"
"RSS Feeds","RSS feeds"
"Rss Config","RSS configuratie"
"Enable RSS","RSS inschakelen"
"RSS","RSS"
