"Page not found.","Siden blev ikke fundet."
"Feed","Feed"
"Miscellaneous Feeds","Miscellaneous Feeds"
"Get Feed","Få Feed"
"RSS Feeds Section","RSS Feeds Section"
"RSS Feeds","RSS Feeds"
"Rss Config","Rss Config"
"Enable RSS","Enable RSS"
"RSS","RSS"
"Any message","Any message"
