"Page not found.","Siden finnes ikke."
"Feed","Feed"
"Miscellaneous Feeds","Diverse Feeder"
"Get Feed","Få Feed"
"RSS Feeds Section","RSS Feeds Section"
"RSS Feeds","RSS-feeds"
"Rss Config","RSS-konfigurasjon"
"Enable RSS","Aktiver RSS"
"RSS","RSS"
"Any message","Any message"
