"Page not found.","ページが見つかりません。"
"Feed","RSS設定"
"Miscellaneous Feeds","利用可能なフィード"
"Get Feed","フィードを取得"
"RSS Feeds Section","RSSフィードセクション"
"RSS Feeds","RSSフィード"
"Rss Config","RSS設定"
"Enable RSS","RSSを有効にする"
"RSS","RSSフィード"
"Any message","すべてのメッセージ"
