"Page not found.","Sidan kunde inte hittas."
"Any message","Any message"
"Feed","Flöde"
"Miscellaneous Feeds","Diverse Flöden"
"Get Feed","Ta Emot Feed"
"RSS Feeds Section","RSS-Feeds avsnitt"
"RSS Feeds","RSS-flöde"
"Rss Config","Rss-Config"
"Enable RSS","Aktivera RSS"
"RSS","RSS"
