"Page not found.","Sivua ei löydy."
"Any message","Any message"
"Feed","Syöte"
"Miscellaneous Feeds","Sekalaiset syötteet"
"Get Feed","Get Feed"
"RSS Feeds Section","RSS Feeds Section"
"RSS Feeds","RSS-syötteet"
"Rss Config","Rss Config"
"Enable RSS","Ota RSS käyttöön"
"RSS","RSS"
