"Page not found.","صفحه یافت نشد."
"Feed","خوراک"
"Miscellaneous Feeds","فیدهای گوناگون"
"Get Feed","دریافت فید"
"RSS Feeds Section","RSS بخش فيدهاي"
"RSS Feeds","فیدهای RSS"
"Rss Config","پیکربندی Rss"
"Enable RSS","RSS ممکن"
"RSS","RSS"
"Any message","Any message"
