"Page not found.","Η σελίδα δεν βρέθηκε."
"Feed","Ροές Δεδομένων"
"Miscellaneous Feeds","Διάφορες Ροές"
"Get Feed","Λήψη Ροής"
"RSS Feeds Section","Ενότητα Ροών RSS"
"RSS Feeds","Τροφοδοσίες RSS"
"Rss Config","Ρυθμίσεις Rss"
"Enable RSS","Ενεργοποιήση RSS"
"RSS","RSS"
"Any message","Κάθε μήνυμα"
