"Page not found.","ಪುಟವು ಕಂಡುಬಂದಿಲ್ಲ."
"Feed","ಫೀಡ್‌"
"Miscellaneous Feeds","Miscellaneous Feeds"
"Get Feed","ಫೀಡ್ ಪಡೆಯಿರಿ‌"
"RSS Feeds Section","RSS ಫೀಡ್‍ಗಳ ವಿಭಾಗ"
"RSS Feeds","RSS ಫೀಡ್‍ಗಳು"
"Rss Config","Rss Config"
"Enable RSS","RSS ಸಕ್ರಿಯಗೊಳಿಸಿ"
"RSS","RSS"
"Any message","ಯಾವುದೇ ಸಂದೇಶ"
