"Page not found.","Stránka nebyla nalezena."
"Feed","Zdroj"
"Miscellaneous Feeds","Různé informační kanály"
"Get Feed","Odebírat RSS"
"RSS Feeds Section","Sekce RSS zdroje"
"RSS Feeds","RSS kanály"
"Rss Config","Nastavení RSS"
"Enable RSS","Povolit RSS"
"RSS","RSS"
"Any message","Any message"
