"Page not found.","Página não encontrada."
"Feed","Feed"
"Miscellaneous Feeds","Feeds Diversos"
"Get Feed","Obter Feed"
"RSS Feeds Section","Seção de Feeds RSS"
"RSS Feeds","Feeds RSS"
"Rss Config","Configuração de RSS"
"Enable RSS","Habilitar o RSS"
"RSS","RSS"
"Any message","Qualquer mensagem"
