"Page not found.","העמוד לא נמצא."
"Any message","Any message"
"Feed","פיד"
"Miscellaneous Feeds","פידים שונים"
"Get Feed","פתח פיד"
"RSS Feeds Section","אגף פידים RSS"
"RSS Feeds","פידים RSS"
"Rss Config","תצורת RSS"
"Enable RSS","אפשר RSS"
"RSS","RSS"
