"Page not found.","Page introuvable."
"Any message","N'importe quel message"
"Feed","Configuration RSS"
"Miscellaneous Feeds","Flux divers"
"Get Feed","Récupérer le flux"
"RSS Feeds Section","Section flux RSS"
"RSS Feeds","Flux RSS"
"Rss Config","Configuration RSS"
"Enable RSS","Activer le RSS"
"RSS","RSS"
