"Page not found.","Página no encontrada."
"Any message","Any message"
"Feed","Fuente (feed)"
"Miscellaneous Feeds","Fuentes varias"
"Get Feed","Obtener fuente"
"RSS Feeds Section","Sección de fuentes RSS"
"RSS Feeds","Fuentes RSS"
"Rss Config","Configuración de RSS"
"Enable RSS","Activar RSS"
"RSS","RSS"
