"Page not found.","Az oldal nem található."
"Any message","Any message"
"Feed","Hírcsatorna"
"Miscellaneous Feeds","Miscellaneous Feeds"
"Get Feed","Get Feed"
"RSS Feeds Section","RSS Feeds Section"
"RSS Feeds","RSS hírcsatornák"
"Rss Config","Rss Config"
"Enable RSS","RSS engedélyezése"
"RSS","RSS"
