"Page not found.","Страницата не е намерена."
"Feed","Източник"
"Miscellaneous Feeds","Разни емисии"
"Get Feed","Вземи емисия"
"RSS Feeds Section","RSS емисии "
"RSS Feeds","RSS емисии"
"Rss Config","Rss конфигурация"
"Enable RSS","Разрешаване на RSS"
"RSS","RSS"
"Any message","Всяко съобщение"
