"Page not found.","Seite nicht gefunden."
"Feed","RSS Konfiguration"
"Miscellaneous Feeds","Verschiedene Feeds"
"Get Feed","Feed abrufen"
"RSS Feeds Section","RSS-Feeds Abschnitt"
"RSS Feeds","RSS-Feeds"
"Rss Config","RSS-Konfiguration"
"Enable RSS","RSS einschalten"
"RSS","RSS"
"Any message","Any message"
