"Page not found.","Lehte ei leitud."
"Any message","Any message"
"Feed","Uudisvoog"
"Miscellaneous Feeds","Miscellaneous Feeds"
"Get Feed","Get Feed"
"RSS Feeds Section","RSS vogude valik"
"RSS Feeds","RSS vood"
"Rss Config","Rss Config"
"Enable RSS","Luba RSS"
"RSS","RSS"
