"Delete Selected Problems","Geselecteerde problemen verwijderen"
"Unsubscribe Selected","Uitschrijven geselecteerd"
"Back","Terug"
"Reset","Resetten"
"Preview Template","Voorbeeld Sjabloon"
"Save Newsletter","Nieuwsbrief opslaan"
"Save and Resume","Opslaan en doorgaan"
"View Newsletter","Nieuwsbrief bekijken"
"Edit Newsletter","Nieuwsbrief bewerken"
"Queue Information","Wachtrijgegevens"
"Queue Date Start","Wachtrij startdatum"
"Subscribers From","Abonnees van"
"Subject","Onderwerp"
"Sender Name","Naam afzender"
"Sender Email","E-mailadres Afzender"
"Message","Bericht"
"Newsletter Styles","Nieuwsbrief Stijl"
"Start","Start"
"Pause","Pauzeren"
"Do you really want to cancel the queue?","Weet u zeker dat u deze wachtrrij wilt annuleren?"
"Cancel","Annuleer"
"Resume","Doorgaan"
"Preview","Voorbeeld"
"Add New Template","Nieuw sjabloon toevoegen"
"Newsletter Templates","Nieuwsbrief Sjablonen"
"Convert to Plain Text","Omzetten naar platte tekst"
"Return HTML Version","Geef HTML-versie terug"
"Delete Template","Sjabloon verwijderen"
"Save As","Opslaan als"
"Save Template","Sjabloon Opslaan"
"Edit Newsletter Template","Nieuwsbrief-sjabloon bewerken"
"New Newsletter Template","Nieuwe nieuwsbrief-sjabloon"
"Template Information","Template informatie"
"Template Name","Template naam"
"Template Subject","Template onderwerp"
"Template Content","Template inhoud"
"Template Styles","Template Stijl"
"No Templates Found","Geen sjablonen gevonden"
"ID","ID"
"Template","Sjabloon"
"Added","Toegevoegd"
"Updated","Bijgewerkt"
"Sender","Afzender"
"Template Type","Template soort"
"Action","Actie"
"Queue Newsletter","Wachtrij nieuwsbrief"
"We unsubscribed the people you identified.","We hebben de mensen uitgeschreven die u geïdentificeerd heeft."
"The problems you identified have been deleted.","De problemen die u vaststelde werden verwijderd."
"Newsletter Problems Report","Nieuwsbrief probleemrapporten"
"Newsletter Problem Reports","Nieuwsbrief probleemrapporten"
"Newsletter Queue","Nieuwsbrief wachtrij"
"Edit Queue","Wachtrij bewerken"
"Please correct the newsletter template and try again.","Corrigeer het nieuwsbriefsjabloon en probeer opnieuw."
"You saved the newsletter queue.","U heeft de nieuwsbrief wachtrij opgeslagen."
"Newsletter Subscribers","Nieuwsbriefabonnees"
"Newsletter","Nieuwsbrief"
"Subscribers","Abonnees"
"Please select one or more subscribers.","Selecteer een of meerdere abonnees."
"Total of %1 record(s) were deleted.","Totaal van %1 record(s) werden verwijderd."
"A total of %1 record(s) were updated.","In totaal zijn %1 record(s) bijgewerkt."
"The newsletter template has been deleted.","Het nieuwsbriefsjabloon werd verwijderd."
"We can't delete this template right now.","We kunnen dit sjablaan momenteel niet vinden."
"Edit Template","Template bewerken"
"New Template","Nieuw sjabloon"
"Create Newsletter Template","Nieuwsbrief-sjabloon aanmaken"
"The newsletter template has been saved.","Het nieuwsbriefsjabloon werd opgeslaan."
"Something went wrong while saving this template.","Er ging iets fout bij het opslaan van dit sjabloon."
"Newsletter Subscription","Nieuwsbriefabonnement"
"Something went wrong while saving your subscription.","Er ging iets mis bij het opslaan van uw abonnement."
"We saved the subscription.","We hebben het abonnement opgeslagen."
"We removed the subscription.","We hebben het abonnement verwijderd."
"Your subscription has been confirmed.","Uw inschrijving is bevestigd."
"This is an invalid subscription confirmation code.","De confirmatie code voor het abonnement is ongeldig."
"This is an invalid subscription ID.","Dit is een ongeldig abonnementsID."
"This email address is already assigned to another user.","Dit E-Mailadres is al toegewezen aan een andere gebruiker."
"Sorry, but the administrator denied subscription for guests. Please <a href=""%1"">register</a>.","Inschrijving is uitsluitend voorbehouden aan geregistreerde klanten. <a href=""%1"">Registreer</a> u."
"Please enter a valid email address.","Vul een geldig e-mailadres in."
"This email address is already subscribed.","Het e-mailadres is al geabonneerd."
"The confirmation request has been sent.","Bedankt voor uw inschrijving, controleer uw e-mail inbox om uw aanvraag te bevestigen."
"Thank you for your subscription.","Bedankt voor uw inschrijving."
"There was a problem with the subscription: %1","Er is een probleem met uw inschrijving: %1"
"Something went wrong with the subscription.","Er ging iets mis met het abonnement."
"You unsubscribed.","Uw abonnement werd opgezegd."
"Something went wrong while unsubscribing you.","Er ging iets mis tijdens het uitschrijven."
"Sent","Verstuurd"
"Cancelled","Geannuleerd"
"Not Sent","Niet verstuurd"
"Sending","Bezig met verzenden"
"Paused","Gepauzeerd"
"There are no subscribers selected.","Er zijn geen abonnees geselecteerd."
"You selected an invalid queue.","U heeft een ongeldige wachtrij geselecteerd."
"We cannot mark as received subscriber.","We kunnen niet registreren als ontvangen abonnee."
"Duplicate template code","Dubbele sjabloon code"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Klik op deze link om u uit te schrijven <!-- This tag is for unsubscribe link --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"No such entity with %fieldName = %fieldValue","Geen dergelijke entiteit met %fieldName = %fieldValue"
"Choose Store View:","Selecteer Winkelaanzicht:"
"Newsletter Message Preview","Preview nieuwsbrief-bericht"
"Add to Queue","Aan wachtrij toevoegen"
"Are you sure that you want to strip all tags?","Weet u zeker dat u alle tags wilt ontkoppelen?"
"Please enter a new template name.","Geef een nieuwe sjabloonnaam op."
" Copy"," Kopiëer"
"Are you sure you want to delete this template?","Weet u zeker dat u dit sjabloon wilt verwijderen?"
"Sign Up for Our Newsletter:","Abonneer u op onze nieuwsbrief"
"Enter your email address","Voer uw e-mailadres in"
"Subscribe","Inschrijven"
"Newsletter subscription confirmation","Nieuwsbrief abonnementbevestiging"
"Thank you for subscribing to our newsletter.","Bedankt voor uw inschrijving op onze nieuwsbrief."
"To begin receiving the newsletter, you must first confirm your subscription by clicking on the following link:","Om onze nieuwsbrief te ontvangen, moet u eerst uw inschrijving bevestigen door te klikken op volgende link:"
"Newsletter subscription success","Nieuwsbrief inschrijving gelukt"
"You have been successfully subscribed to our newsletter.","Je bent nu geabonneerd op onze nieuwsbrief."
"Newsletter unsubscription success","Nieuwsbrief uitschrijving gelukt"
"You have been unsubscribed from the newsletter.","U bent uitgeschreven op onze nieuwsbrief."
"Newsletter Template","Nieuwsbrief Sjabloon"
"Newsletter Section","Nieuwsbrief sectie"
"Subscription Options","Abonnementopties"
"Allow Guest Subscription","Inschrijven voor gasten toestaan"
"Need to Confirm","Moet bevestigen"
"Confirmation Email Sender","Afzender Bevestiging E-mail"
"Confirmation Email Template","Bevestiging e-mail sjabloon"
"Email template chosen based on theme fallback when ""Default"" option is selected.","E-mail sjabloon dat gekozen wordt op basis van thema fallback als de optie ""Standaard"" is geselecteerd."
"Success Email Sender","Afzender Succes E-mail"
"Success Email Template","Succes e-mail sjabloon"
"Unsubscription Email Sender","Afzender Uitschrijving E-mail"
"Unsubscription Email Template","Template e-mail uitschrijving"
