"Delete Selected Problems","Kijelölt problémák törlése"
"Unsubscribe Selected","Kiválasztottak leiratkoztatása"
"Back","Vissza"
"Reset","Alaphelyzet"
"Preview Template","Sablon előnézete"
"Save Newsletter","Hírlevél mentése"
"Save and Resume","Mentés és folytatás"
"View Newsletter","Hírlevél megtekintése"
"Edit Newsletter","Hírlevél szerkesztése"
"Queue Information","Sor információ"
"Queue Date Start","Sor kezdő dátum"
"Subscribers From","Feliratkozottak innen"
"Subject","Tárgy"
"Sender Name","Feladó neve"
"Sender Email","Küldő email címe"
"Message","Üzenet"
"Newsletter Styles","Hírlevél stílusok"
"Start","Kezdet"
"Pause","Szünet"
"Do you really want to cancel the queue?","Biztosan megszakítja a sort?"
"Cancel","Mégse"
"Resume","Folytatás"
"Preview","Előnézet"
"Add New Template","Új sablon hozzáadása"
"Newsletter Templates","Hírlevél sablonok"
"Convert to Plain Text","Egyszerű szöveges üzenetté konvertálás"
"Return HTML Version","HTML verzió visszaadása"
"Delete Template","Sablon törlése"
"Save As","Mentés másként"
"Save Template","Sablon mentése"
"Edit Newsletter Template","Hírlevél sablon szerkesztése"
"New Newsletter Template","Új hírlevél sablon"
"Template Information","Sablon információk"
"Template Name","Sablon neve"
"Template Subject","Sablon tárgya"
"Template Content","Sablon tartalma"
"Template Styles","Sablon stílusa"
"No Templates Found","Nincsenek sablonok"
"ID","Azonosító"
"Template","Sablon"
"Added","Hozzáadva"
"Updated","Frissítve"
"Sender","Feladó"
"Template Type","Sablon típusa"
"Action","Akció"
"Queue Newsletter","Hírlevél sor"
"We unsubscribed the people you identified.","Leiratkoztattuk a kiválasztott embereket."
"The problems you identified have been deleted.","Az azonosított problémák törlésre kerültek."
"Newsletter Problems Report","Hírlevél problémák jelentése"
"Newsletter Problem Reports","Hírlevél problémák jelentése"
"Newsletter Queue","Hírlevél sor"
"Edit Queue","Sor szerkesztése"
"Please correct the newsletter template and try again.","Kérjük javítsa ki a hírlevél sablont, majd próbálja újra."
"You saved the newsletter queue.","Elmentette a hírlevél sort."
"Newsletter Subscribers","Hírlevél feliratkozók"
"Newsletter","Hírlevél"
"Subscribers","Feliratkozók"
"Please select one or more subscribers.","Kérjük jelöljön ki egy vagy több feliratkozót."
"Total of %1 record(s) were deleted.","Összesen %1 sor törölve."
"A total of %1 record(s) were updated.","Összesen %1 sor frissítve."
"The newsletter template has been deleted.","A hírlevél sablon törölve lett."
"We can't delete this template right now.","A sablon jelenleg nem törölhető."
"Edit Template","Sablon szerkesztése"
"New Template","Új sablon"
"Create Newsletter Template","Hírlevél sablon létrehozása"
"The newsletter template has been saved.","A hírlevél sablon elmentve."
"Something went wrong while saving this template.","Valami nem sikerült a sablon mentése közben."
"Newsletter Subscription","Hírlevél feliratkozás"
"Something went wrong while saving your subscription.","Valami nem sikerült a feliratkozás mentése közben."
"We saved the subscription.","Elmentettük a feliratkozást."
"We removed the subscription.","Megszüntettük a feliratkozást."
"Your subscription has been confirmed.","A feliratkozása megerősítésre került."
"This is an invalid subscription confirmation code.","Érvénytelen feliratkozás megerősítő kód."
"This is an invalid subscription ID.","Érvénytelen feliratkozás ID."
"This email address is already assigned to another user.","Az email cím már hozzá van rendelve egy másik felhasználóhoz."
"Sorry, but the administrator denied subscription for guests. Please <a href=""%1"">register</a>.","Sajnáljuk, de az adminisztrátor nem engedélyezi a feliratkozást vendégek számára. Kérjük <a href=""%1"">regisztráljon</a>."
"Please enter a valid email address.","Kérjük, adjon meg egy érvényes email címet."
"This email address is already subscribed.","Ezzel az email címmel már feliratkoztak."
"The confirmation request has been sent.","A megerősítő kérelem elküldve."
"Thank you for your subscription.","Köszönjük, hogy feliratkozott."
"There was a problem with the subscription: %1","Probléma merült fel a feliratkozással: %1"
"Something went wrong with the subscription.","Valami nem sikerült a feliratkozás közben."
"You unsubscribed.","Ön leiratkozott."
"Something went wrong while unsubscribing you.","Valami nem sikerült a leiratkozás közben."
