"Delete Selected Problems","Slet de valgte problemer"
"Unsubscribe Selected","Afmeld Valgte"
"Back","Tilbage"
"Reset","Nulstil"
"Preview Template","Preview skabelon"
"Save Newsletter","Gem nyhedsbrev"
"Save and Resume","Gem og fortsæt"
"View Newsletter","Se nyhedsbrev"
"Edit Newsletter","Rediger nyhedsbrev"
"Queue Information","Køoplysninger"
"Queue Date Start","Kø dato start"
"Subscribers From","Abonnenter fra"
"Subject","Emne"
"Sender Name","Afsendernavn"
"Sender Email","Afsender e-mail"
"Message","Besked"
"Newsletter Styles","Nyhedsbrev stilarter"
"Start","Start"
"Pause","Pause"
"Do you really want to cancel the queue?","Er du sikker på at du vil annullere køen?"
"Cancel","Annuller"
"Resume","Genoptag"
"Preview","Forhåndsvisning"
"Add New Template","Tilføj ny skabelon"
"Newsletter Templates","Nyhedsbrevsskabeloner"
"Convert to Plain Text","Konverter til almindelig tekst"
"Return HTML Version","Returner HTML-Version"
"Delete Template","Slet skabelon"
"Save As","Gem som"
"Save Template","Gem skabelon"
"Edit Newsletter Template","Rediger nyhedsbrev template"
"New Newsletter Template","Nyt nyhedsbrev template"
"Template Information","Template information"
"Template Name","Skabelonnavn"
"Template Subject","Skabelon emne"
"Template Content","Skabelon indhold"
"Template Styles","Skabelonstil"
"No Templates Found","Ingen skabeloner fundet"
"ID","ID"
"Template","Skabelon"
"Added","Tilføjet"
"Updated","Opdateret"
"Sender","Afsender"
"Template Type","Skabelontype"
"Action","Handling"
"Queue Newsletter","Sæt nyhedsbrev i kø"
"We unsubscribed the people you identified.","Vi Afmeldte de personer du identificeret."
"The problems you identified have been deleted.","De problemer du identificerede er blevet slettet."
"Newsletter Problems Report","Nyhedsbrevs Problemer Rapport"
"Newsletter Problem Reports","Nyhedsbrevs Problemer Rapport"
"Newsletter Queue","Nyhedsbrev kø"
"Edit Queue","Rediger kø"
"Please correct the newsletter template and try again.","Ret venligst nyhedsbrevet skabelon, og prøv igen."
"You saved the newsletter queue.","You saved the newsletter queue."
"Newsletter Subscribers","Nyhedsbrev abonnenter"
"Newsletter","Nyhedsbrev"
