"Delete Selected Problems","Hapus Masalah yang Dipilih"
"Unsubscribe Selected","Berhenti Berlangganan"
"Back","Kembali"
"Reset","Atur ulang"
"Preview Template","Pratinjau Template"
"Save Newsletter","Menyimpan Surat baru"
"Save and Resume","Simpan dan Lanjutkan"
"View Newsletter","Melihat Surat baru"
"Edit Newsletter","Mengedit Surat baru"
"Queue Information","Aturan Informasi"
"Queue Date Start","Tanggal Mulai Antrian"
"Subscribers From","Pelanggan Dari"
"Subject","Subjek"
"Sender Name","Nama pengirim"
"Sender Email","Email pengirim"
"Message","Pesan"
"Newsletter Styles","Newsletter Styles"
"Start","Mulai"
"Pause","Jeda"
"Do you really want to cancel the queue?","Apakah Anda ingin membatalkan antrian?"
"Cancel","Batal"
"Resume","Lanjut"
"Preview","Pratinjau"
"Add New Template","Tambah Template Baru"
"Newsletter Templates","Template Newsletter"
"Convert to Plain Text","Konversi ke Teks Biasa"
"Return HTML Version","Return HTML Version"
"Delete Template","Hapus Template"
"Save As","Save As"
"Save Template","Simpan Template"
"Edit Newsletter Template","Edit Newsletter Template"
"New Newsletter Template","New Newsletter Template"
"Template Information","Informasi Template"
"Template Name","Nama Template"
"Template Subject","Subjek Template"
"Template Content","Konten Template"
"Template Styles","Gaya Template"
"No Templates Found","Tidak Ditemukan Template"
"ID","Nomor"
"Template","Template"
"Added","Ditambahkan"
"Updated","Diperbarui"
"Sender","Pengirim"
"Template Type","Jenis Template"
"Action","Tindakan"
"Queue Newsletter","Queue Newsletter"
"We unsubscribed the people you identified.","Kami berhenti berlangganan orang yang kamu identifikasi."
"The problems you identified have been deleted.","Masalah yang Anda identifikasi telah dihapus."
"Newsletter Problems Report","Newsletter Problems Report"
"Newsletter Problem Reports","Newsletter Problem Reports"
"Newsletter Queue","Antrian Newsletter"
"Edit Queue","Edit Antrian"
"Please correct the newsletter template and try again.","Please correct the newsletter template and try again."
"You saved the newsletter queue.","You saved the newsletter queue."
"Newsletter Subscribers","Pelanggan Newsletter"
"Newsletter","Surat kabar"
"Subscribers","Subscribers"
"Please select one or more subscribers.","Please select one or more subscribers."
"Total of %1 record(s) were deleted.","Total % 1 record telah dihapus."
"A total of %1 record(s) were updated.","Sebanyak %1 rekaman(s) telah diperbarui."
"The newsletter template has been deleted.","The newsletter template has been deleted."
"We can't delete this template right now.","We can't delete this template right now."
"Edit Template","Edit Template"
"New Template","Template Baru"
"Create Newsletter Template","Create Newsletter Template"
"The newsletter template has been saved.","The newsletter template has been saved."
"Something went wrong while saving this template.","Something went wrong while saving this template."
"Newsletter Subscription","Berlangganan surat kabar"
"Something went wrong while saving your subscription.","Something went wrong while saving your subscription."
"We saved the subscription.","We saved the subscription."
"We removed the subscription.","We removed the subscription."
"Your subscription has been confirmed.","Your subscription has been confirmed."
"This is an invalid subscription confirmation code.","This is an invalid subscription confirmation code."
"This is an invalid subscription ID.","This is an invalid subscription ID."
"This email address is already assigned to another user.","This email address is already assigned to another user."
"Sorry, but the administrator denied subscription for guests. Please <a href=""%1"">register</a>.","Sorry, but the administrator denied subscription for guests. Please <a href=""%1"">register</a>."
"Please enter a valid email address.","Silahkan masukkan alamat email yang valid."
"This email address is already subscribed.","Alamat email ini sudah berlangganan."
"The confirmation request has been sent.","The confirmation request has been sent."
"Thank you for your subscription.","Terima kasih atas langganan anda."
"There was a problem with the subscription: %1","There was a problem with the subscription: %1"
"Something went wrong with the subscription.","Ada yang salah dengan berlangganan."
"You unsubscribed.","Anda berhenti berlangganan."
"Something went wrong while unsubscribing you.","Ada yang tidak beres saat berhenti berlangganan Anda."
"Sent","Kirim"
"Cancelled","Batalkan"
"Not Sent","Jangan Kirim"
"Sending","Mengirim"
"Paused","Berhenti"
"There are no subscribers selected.","Tidak ada pelanggan terpilih."
"You selected an invalid queue.","Anda memilih antrian yang tidak benar."
"We cannot mark as received subscriber.","Kami tidak bisa menandai sebagai pelanggan yang diterima."
"Duplicate template code","Duplicate template code"
