"Message has been rejected: %1","メッセージは拒否されました: %1"
"MySQL Message Queue Cleanup","MySQL Message Queueクリーンアップ"
"All the times are in minutes. Use ""0"" if you want to skip automatic clearance.","すべての時間は分です。自動クリアランスをスキップする場合は、 "" 0 ""を使用してください。"
"Retry Messages In Progress After","進行中のメッセージの再試行後"
"Successful Messages Lifetime","成功したメッセージの存続期間"
"Failed Messages Lifetime","失敗したメッセージの存続期間"
"New Messages Lifetime","新しいメッセージ有効期限"
"MySQL Message Queue Cleanup - all the times are in minutes. Use ""0"" if you want to skip automatic clearance","MySQL Message Queue Cleanup - all the times are in minutes. Use ""0"" if you want to skip automatic clearance"
