"Message has been rejected: %1","Wiadomość została odrzucona: %1"
"MySQL Message Queue Cleanup","Porządkowanie kolejki komunikatów MySQL"
"All the times are in minutes. Use ""0"" if you want to skip automatic clearance.","Wszystkie wartości powinny być podane w minutach. Użyj ""0"", aby zrezygnować z automatycznego czyszczenia."
"Retry Messages In Progress After","Ponów wiadomości po postępie"
"Successful Messages Lifetime","Czas życia pomyślnych komunikatów"
"Failed Messages Lifetime","Czas życia komunikatów o niepowodzeniu"
"New Messages Lifetime","Czas życia nowych komunikatów"
"MySQL Message Queue Cleanup - all the times are in minutes. Use ""0"" if you want to skip automatic clearance","MySQL Message Queue Cleanup - all the times are in minutes. Use ""0"" if you want to skip automatic clearance"
