"Synchronize","همگام‌ سازی"
"Synchronizing %1 to %2","همگام سازی %1 با %2"
"Synchronizing...","در حال همگام سازی..."
"The timeout limit for response from synchronize process was reached.","محدودیت زمانی برای دریافت پاسخ از فرآیند همگام سازی به سر رسیده است."
"File %1 does not exist","File %1 does not exist"
"File %1 is not readable","فایل %1 قابل خواندن نیست"
"File System","سیستم فایل"
"Database","Database"
"database ""%1""","پایگاه داده ""%1"""
"Parent directory does not exist: %1","پرونده مادر وجود ندارد:%1"
"File system","سیستم فایل"
"Unable to save file ""%1"" at ""%2""","ذخیره کردن فایل «%1» در «%2» امکانپذیر نیست"
"Wrong file info format","فرمت اشتباه اطلاعات فايل"
"Path ""%value%"" is protected and cannot be used.","مسير ""%value%"" محافظت شده است و نمی تواند مورد استفاده قرار گیرد."
"Path ""%value%"" is not available and cannot be used.","مسير ""%value%"" در دسترس نیست و نمی تواند مورد استفاده قرار گیرد."
"Path ""%value%"" may not include parent directory traversal (""../"", "".."").","Path ""%value%"" may not include parent directory traversal (""../"", "".."")."
"Please set available and/or protected paths list(s) before validation.","لطفا لیست مسیرهای موجود و یا محافظت شده را قبل از تأیید اعتبار تعیین کنید."
"File with an extension ""%value%"" is protected and cannot be uploaded","فايل با فرمت ""%value%"" محافظت شده است و نمی تواند آپلود شود"
"Unable to create directory: %1","قادر به ایجاد پوشه: %1 نیست"
"Unable to save file: %1","فایل: %1 ذخیره نشد"
"Storage Configuration for Media","تنظیمات ذخیره سازی برای رسانه ها"
"Media Storage","محل ذخیره سازی رسانه"
"Select Media Database","انتخاب پایگاه داده رسانه"
"After selecting a new media storage location, press the Synchronize button to transfer all media to that location. Media will not be available in the new location until the synchronization process is complete.","After selecting a new media storage location, press the Synchronize button to transfer all media to that location. Media will not be available in the new location until the synchronization process is complete."
"Environment Update Time","زمان به روز رسانی محيط"
"The ""%1"" file doesn't exist. Verify the file and try again.","The ""%1"" file doesn't exist. Verify the file and try again."
"Cannot resize image ""%1"" - original image not found","Cannot resize image ""%1"" - original image not found"
"Cannot resize images - product images not found","Cannot resize images - product images not found"
