"Synchronize","Synkronisere"
"Synchronizing %1 to %2","Synkronisere %1 til %2"
"Synchronizing...","Synkroniserer..."
"The timeout limit for response from synchronize process was reached.","Grensen for tidsavbrudd for svar fra synkroniserte prosesser ble nådd."
"File %1 does not exist","File %1 does not exist"
"File %1 is not readable","Filen %1 er ikke lesbar"
"File System","Filsystem"
"Database","Database"
"database ""%1""","database ""%1"""
"Parent directory does not exist: %1","Parent directory does not exist: %1"
"File system","Filsystem"
"Unable to save file ""%1"" at ""%2""","Kan ikke lagre filen ""%1"" på ""%2"""
"Wrong file info format","Wrong file info format"
"Path ""%value%"" is protected and cannot be used.","Path ""%value%"" is protected and cannot be used."
"Path ""%value%"" is not available and cannot be used.","Path ""%value%"" is not available and cannot be used."
"Path ""%value%"" may not include parent directory traversal (""../"", "".."").","Path ""%value%"" may not include parent directory traversal (""../"", "".."")."
"Please set available and/or protected paths list(s) before validation.","Please set available and/or protected paths list(s) before validation."
"File with an extension ""%value%"" is protected and cannot be uploaded","File with an extension ""%value%"" is protected and cannot be uploaded"
"Unable to create directory: %1","Unable to create directory: %1"
"Unable to save file: %1","Unable to save file: %1"
"Storage Configuration for Media","Storage Configuration for Media"
"Media Storage","Lagringsmedier"
"Select Media Database","Select Media Database"
"After selecting a new media storage location, press the Synchronize button to transfer all media to that location. Media will not be available in the new location until the synchronization process is complete.","After selecting a new media storage location, press the Synchronize button to transfer all media to that location. Media will not be available in the new location until the synchronization process is complete."
"Environment Update Time","Environment Update Time"
"The ""%1"" file doesn't exist. Verify the file and try again.","The ""%1"" file doesn't exist. Verify the file and try again."
"Cannot resize image ""%1"" - original image not found","Cannot resize image ""%1"" - original image not found"
"Cannot resize images - product images not found","Cannot resize images - product images not found"
