"Synchronize","同期"
"Synchronizing %1 to %2","%1と%2を同期"
"Synchronizing...","同期中..."
"The timeout limit for response from synchronize process was reached.","同期プロセスのレスポンスのタイムアウト限界に達しました"
"File %1 does not exist","File %1 does not exist"
"File %1 is not readable","ファイル%1は読み込めません"
"File System","ファイルシステム"
"Database","Database"
"database ""%1""","データベース ""%1"""
"Parent directory does not exist: %1","親ディレクトリが存在しません: %1"
"File system","ファイルシステム"
"Unable to save file ""%1"" at ""%2""","ファイル""%1""を""%2""にて保存できませんでした"
"Wrong file info format","不正なファイル情報フォーマット"
"Path ""%value%"" is protected and cannot be used.","パス ""%value%"" は保護されていて使用できません。"
"Path ""%value%"" is not available and cannot be used.","パス ""%value%"" は利用できません。"
"Path ""%value%"" may not include parent directory traversal (""../"", "".."").","Path ""%value%"" may not include parent directory traversal (""../"", "".."")."
"Please set available and/or protected paths list(s) before validation.","チェックの前に利用可能か保護されているパスをセットしてください。"
"File with an extension ""%value%"" is protected and cannot be uploaded","拡張子 ""%value%"" のファイルは保護されているためアップロードできません"
"Unable to create directory: %1","ディレクトリを作れませんでした: %1"
"Unable to save file: %1","ファイルが保存できませんでした: %1"
"Storage Configuration for Media","メディアストレージ設定"
"Media Storage","メディアストレージ"
"Select Media Database","メディアストレージを選択"
"After selecting a new media storage location, press the Synchronize button to transfer all media to that location. Media will not be available in the new location until the synchronization process is complete.","After selecting a new media storage location, press the Synchronize button to transfer all media to that location. Media will not be available in the new location until the synchronization process is complete."
"Environment Update Time","集計期間"
"The ""%1"" file doesn't exist. Verify the file and try again.","""%1"" ファイルがありません。ファイルを確認して再度お試し下さい。"
"Cannot resize image ""%1"" - original image not found","画像 ""%1"" のサイズを変更できません - 元の画像が見つかりません"
"Cannot resize images - product images not found","画像のサイズを変更できません - 商品画像が見つかりません"
