"Synchronize","Synchronizovat"
"Synchronizing %1 to %2","Synchronizuji %1 s %2"
"Synchronizing...","Probíhá synchronizace..."
"The timeout limit for response from synchronize process was reached.","Byl dosažen časový limit procesu synchronizace."
"File %1 does not exist","File %1 does not exist"
"File %1 is not readable","Soubor %1 není čitelný"
"File System","Souborový systém"
"Database","Databáze"
"database ""%1""","databáze ""%1"""
"Parent directory does not exist: %1","Nadřazený adresář neexistuje: %1"
"File system","Souborový systém"
"Unable to save file ""%1"" at ""%2""","Soubor ""%1"" nelze v ""%2"" uložit"
"Wrong file info format","Chybný formát údajů souboru"
"Path ""%value%"" is protected and cannot be used.","Cesta ""%value%"" je chráněná a nelze ji použít."
"Path ""%value%"" is not available and cannot be used.","Cesta ""%value%"" je nedostupná a nelze ji použít."
"Path ""%value%"" may not include parent directory traversal (""../"", "".."").","Path ""%value%"" may not include parent directory traversal (""../"", "".."")."
"Please set available and/or protected paths list(s) before validation.","Před ověřením nastavte dostupné a/nebo chráněné seznamy cest."
"File with an extension ""%value%"" is protected and cannot be uploaded","Soubor s příponou ""%value%"" je chráněný a nelze jej nahrát"
"Unable to create directory: %1","Nelze vytvořit adresář: %1"
"Unable to save file: %1","Nelze uložit soubor: %1"
"Storage Configuration for Media","Nastavení úložiště médií"
"Media Storage","Úložiště médií"
"Select Media Database","Zvolit databázi médií"
"After selecting a new media storage location, press the Synchronize button to transfer all media to that location. Media will not be available in the new location until the synchronization process is complete.","After selecting a new media storage location, press the Synchronize button to transfer all media to that location. Media will not be available in the new location until the synchronization process is complete."
"Environment Update Time","Čas aktualizace prostředí"
"The ""%1"" file doesn't exist. Verify the file and try again.","The ""%1"" file doesn't exist. Verify the file and try again."
"Cannot resize image ""%1"" - original image not found","Cannot resize image ""%1"" - original image not found"
"Cannot resize images - product images not found","Cannot resize images - product images not found"
