"Synchronize","Eşitleme"
"Synchronizing %1 to %2","%1 den %2 için eşitleme"
"Synchronizing...","Eşitleniyor..."
"The timeout limit for response from synchronize process was reached.","Eşitleme işleminden yanıt almak için zaman aşımı sınırına ulaşıldı."
"File %1 does not exist","File %1 does not exist"
"File %1 is not readable","Dosya%1 okunabilir değil"
"File System","Dosya Sistemi"
"Database","Database"
"database ""%1""","Veri tabanı ""%1"""
"Parent directory does not exist: %1","Ana dizin yok: %1"
"File system","Dosya Sistemi"
"Unable to save file ""%1"" at ""%2""","""%1"" dosyası ""%2"" 'ye kaydedilemedi"
"Wrong file info format","Hatalı dosya bilgisi biçimi"
"Path ""%value%"" is protected and cannot be used.","""%value%"" için erişim yetkisi yok ve kullanılamaz."
"Path ""%value%"" is not available and cannot be used.","Dosya yolu ""%value%"" bulunamadı ve kullanılamaz."
"Path ""%value%"" may not include parent directory traversal (""../"", "".."").","Path ""%value%"" may not include parent directory traversal (""../"", "".."")."
"Please set available and/or protected paths list(s) before validation.","Lütfen doğrulamadan önce mümkün olan korunan dizin listesini ayarlayınız."
"File with an extension ""%value%"" is protected and cannot be uploaded","""%value%"" uzantılı dosyalar koruma altındadır ve yüklenemez"
"Unable to create directory: %1","Dizin oluşturulamadı: %1"
"Unable to save file: %1","Dosya kaydedilemiyor: %1"
"Storage Configuration for Media","Medya için Depolama Yapılandırma"
"Media Storage","Medya Deposu"
"Select Media Database","Medya Veritabanı Seçiniz"
"After selecting a new media storage location, press the Synchronize button to transfer all media to that location. Media will not be available in the new location until the synchronization process is complete.","After selecting a new media storage location, press the Synchronize button to transfer all media to that location. Media will not be available in the new location until the synchronization process is complete."
"Environment Update Time","Çevresel verilerin güncellenme zamanı"
"The ""%1"" file doesn't exist. Verify the file and try again.","The ""%1"" file doesn't exist. Verify the file and try again."
"Cannot resize image ""%1"" - original image not found","Cannot resize image ""%1"" - original image not found"
"Cannot resize images - product images not found","Cannot resize images - product images not found"
