"Synchronize","Synkronisera"
"Synchronizing %1 to %2","Synkronisera %1 till %2"
"Synchronizing...","Synkroniserar..."
"The timeout limit for response from synchronize process was reached.","Tidsgränsen uppnåddes för svar från processing för att synkronisera."
"File %1 does not exist","Fil %1 saknas"
"File %1 is not readable","Filen %S kan inte läsas"
"File System","Filsystem"
"Database","Databas"
"database ""%1""","databasen ""%1"""
"Parent directory does not exist: %1","Överordnade katalogen finns inte: %1"
"File system","Filsystem"
"Unable to save file ""%1"" at ""%2""","Det går inte att spara filen ""%1"" på ""%2"""
"Wrong file info format","Fel filformat"
"Path ""%value%"" is protected and cannot be used.","Url ""%value%"" är inte tillgänglig och kan inte användas."
"Path ""%value%"" is not available and cannot be used.","Url ""%value%"" är inte tillgänglig och kan inte användas."
"Path ""%value%"" may not include parent directory traversal (""../"", "".."").","Sökvägen ""%value%"" kan inte innehålla överordnad katalog traversal (""... /"", "".."")."
"Please set available and/or protected paths list(s) before validation.","Vänligen ange tillgängliga och/eller skyddade sökvägar förteckningar innan validering."
"File with an extension ""%value%"" is protected and cannot be uploaded","Fil med tillägget ""%value%"" är skyddad och kan inte laddas upp"
"Unable to create directory: %1","Det gick inte att skapa katalogen ""%s"""
"Unable to save file: %1","Det går inte att spara filen: %1"
"Storage Configuration for Media","Lagringskonfiguration för Media"
"Media Storage","Medialagring"
"Select Media Database","Välj Media databas"
"After selecting a new media storage location, press the Synchronize button to transfer all media to that location. Media will not be available in the new location until the synchronization process is complete.","Efter att du har valt en ny medialagringsplats, trycker du på synkronisera-knappen för att överföra allt media till den platsen. Media kommer inte att vara tillgängligt på den nya platsen förrän synkroniseringsprocessen är klar."
"Environment Update Time","Tidpunkt för uppdateringen av miljö"
"The ""%1"" file doesn't exist. Verify the file and try again.","The ""%1"" file doesn't exist. Verify the file and try again."
"Cannot resize image ""%1"" - original image not found","Cannot resize image ""%1"" - original image not found"
"Cannot resize images - product images not found","Cannot resize images - product images not found"
