"Synchronize","Sinkronisasi"
"Synchronizing %1 to %2","Menyinkronkan %1 ke %2"
"Synchronizing...","Menyinkronkan..."
"The timeout limit for response from synchronize process was reached.","Batas waktu untuk respon dari proses sinkronisasi telah tercapai."
"File %1 does not exist","File %1 does not exist"
"File %1 is not readable","File %1 tidak dapat dibaca"
"File System","Berkas sistem"
"Database","Database"
"database ""%1""","database ""%1"""
"Parent directory does not exist: %1","Direktori induk tidak ada: %1"
"File system","Berkas sistem"
"Unable to save file ""%1"" at ""%2""","Tidak dapat menyimpan file ""%1"" di ""%2"""
"Wrong file info format","Format info file yang salah"
"Path ""%value%"" is protected and cannot be used.","Path "" %value%"" terlindungi dan tidak bisa digunakan."
"Path ""%value%"" is not available and cannot be used.","Jalur "" %value% "" tidak tersedia dan tidak dapat digunakan."
"Path ""%value%"" may not include parent directory traversal (""../"", "".."").","Path ""%value%"" may not include parent directory traversal (""../"", "".."")."
"Please set available and/or protected paths list(s) before validation.","Silakan sediakan daftar jalur yang tersedia dan/atau yang dilindungi sebelum validasi."
"File with an extension ""%value%"" is protected and cannot be uploaded","File dengan ekstensi ""%value%"" dilindungi dan tidak dapat diunggah"
"Unable to create directory: %1","Tidak dapat membuat direktori:%1"
"Unable to save file: %1","Tidak dapat menyimpan file:%1"
"Storage Configuration for Media","Konfigurasi Penyimpanan untuk Media"
"Media Storage","Penyimpanan media"
"Select Media Database","Pilih Media Database"
"After selecting a new media storage location, press the Synchronize button to transfer all media to that location. Media will not be available in the new location until the synchronization process is complete.","After selecting a new media storage location, press the Synchronize button to transfer all media to that location. Media will not be available in the new location until the synchronization process is complete."
"Environment Update Time","Waktu Update Lingkungan"
"The ""%1"" file doesn't exist. Verify the file and try again.","The ""%1"" file doesn't exist. Verify the file and try again."
"Cannot resize image ""%1"" - original image not found","Cannot resize image ""%1"" - original image not found"
"Cannot resize images - product images not found","Cannot resize images - product images not found"
