"Synchronize","المزامنة"
"Synchronizing %1 to %2","مزامنة %1 إلى %2"
"Synchronizing...","مزامنة..."
"The timeout limit for response from synchronize process was reached.","مهلة للاستجابة من عملية مزامنة إنتهت."
"File %1 does not exist","File %1 does not exist"
"File %1 is not readable","ملف %1 غير قابل للقراءة"
"File System","نظام الملفات"
"Database","Database"
"database ""%1""","قاعدة بيانات ""%1"""
"Parent directory does not exist: %1","الدليل الأصل غير موجود: %1"
"File system","نظام الملفات"
"Unable to save file ""%1"" at ""%2""","غير قادر على حفظ ملف ""%1"" في ""%2"""
"Wrong file info format","Wrong file info format"
"Path ""%value%"" is protected and cannot be used.","Path ""%value%"" is protected and cannot be used."
"Path ""%value%"" is not available and cannot be used.","Path ""%value%"" is not available and cannot be used."
"Path ""%value%"" may not include parent directory traversal (""../"", "".."").","Path ""%value%"" may not include parent directory traversal (""../"", "".."")."
"Please set available and/or protected paths list(s) before validation.","Please set available and/or protected paths list(s) before validation."
"File with an extension ""%value%"" is protected and cannot be uploaded","File with an extension ""%value%"" is protected and cannot be uploaded"
"Unable to create directory: %1","غير قادر على إنشاء الدليل: %1"
"Unable to save file: %1","غير قادر على حفظ ملف: %1"
"Storage Configuration for Media","إعدادات مخزن الوسائط"
"Media Storage","وسائط التخزين"
"Select Media Database","حدد قاعدة بيانات الوسائط"
"After selecting a new media storage location, press the Synchronize button to transfer all media to that location. Media will not be available in the new location until the synchronization process is complete.","After selecting a new media storage location, press the Synchronize button to transfer all media to that location. Media will not be available in the new location until the synchronization process is complete."
"Environment Update Time","وقت تحديث البيئة"
"The ""%1"" file doesn't exist. Verify the file and try again.","The ""%1"" file doesn't exist. Verify the file and try again."
"Cannot resize image ""%1"" - original image not found","Cannot resize image ""%1"" - original image not found"
"Cannot resize images - product images not found","Cannot resize images - product images not found"
