"Synchronize","Sincronizar"
"Synchronizing %1 to %2","Sincronización de %1 a %2"
"Synchronizing...","Sincronización..."
"The timeout limit for response from synchronize process was reached.","Se alcanzó el límite de tiempo de espera de respuesta del proceso de sincronización."
"File %1 does not exist","File %1 does not exist"
"File %1 is not readable","El archivo %1 no se puede leer"
"File System","Sistema de archivos"
"Database","Database"
"database ""%1""","base de datos ""%1"""
"Parent directory does not exist: %1","El directorio padre no existe: %1"
"File system","Sistema de archivos"
"Unable to save file ""%1"" at ""%2""","No se puede guardar el archivo ""%1"" en ""%2"""
"Wrong file info format","Formato de información del archivo incorrecto"
"Path ""%value%"" is protected and cannot be used.","La ruta ""%value%"" está protegida y no se puede utilizar."
"Path ""%value%"" is not available and cannot be used.","La ruta ""%value%"" no está disponible y no puede usarse."
"Path ""%value%"" may not include parent directory traversal (""../"", "".."").","Path ""%value%"" may not include parent directory traversal (""../"", "".."")."
"Please set available and/or protected paths list(s) before validation.","Por favor, indique la(s) lista(s) de rutas disponibles y/o protegidas antes de la validación."
"File with an extension ""%value%"" is protected and cannot be uploaded","El archivo con extensión ""%value%"" está protegido y no se puede subir"
"Unable to create directory: %1","No se puede crear el directorio: %1"
"Unable to save file: %1","No se puede guardar el archivo: %1"
"Storage Configuration for Media","Configuración del almacenamiento de medios"
"Media Storage","Almacenamiento de medios"
"Select Media Database","Seleccionar banco de datos para medios"
"After selecting a new media storage location, press the Synchronize button to transfer all media to that location. Media will not be available in the new location until the synchronization process is complete.","After selecting a new media storage location, press the Synchronize button to transfer all media to that location. Media will not be available in the new location until the synchronization process is complete."
"Environment Update Time","Intervalo de actualización del entorno"
"The ""%1"" file doesn't exist. Verify the file and try again.","The ""%1"" file doesn't exist. Verify the file and try again."
"Cannot resize image ""%1"" - original image not found","Cannot resize image ""%1"" - original image not found"
"Cannot resize images - product images not found","Cannot resize images - product images not found"
