"Synchronize","סינכון"
"Synchronizing %1 to %2","סינכרון %1 ל %2"
"Synchronizing...","מסנכרן..."
"The timeout limit for response from synchronize process was reached.","הזמן הקצוב עבור התגובה של תהליך הסינכרון פקע."
"File %1 does not exist","File %1 does not exist"
"File %1 is not readable","קובץ %1 לא קריא"
"File System","מערכת קבצים"
"Database","Database"
"database ""%1""","מסד הנתונים של ""%1"""
"Parent directory does not exist: %1","תיקיית אב אינה קיימת: %1"
"File system","מערכת קבצים"
"Unable to save file ""%1"" at ""%2""","אין אפשרות לשמור את הקובץ ""%1"" ב- ""%2"""
"Wrong file info format","פורמט קובץ שגוי"
"Path ""%value%"" is protected and cannot be used.","נתיב ""%value%"" מוגן ולא ניתן לשימוש."
"Path ""%value%"" is not available and cannot be used.","נתיב ""%value%"" לא זמין ולא ניתן לשימוש."
"Path ""%value%"" may not include parent directory traversal (""../"", "".."").","Path ""%value%"" may not include parent directory traversal (""../"", "".."")."
"Please set available and/or protected paths list(s) before validation.","Please set available and/or protected paths list(s) before validation."
"File with an extension ""%value%"" is protected and cannot be uploaded","קובץ עם הסיומת ""%value%"" מוגן ולא ניתן להעלאה"
"Unable to create directory: %1","לא ניתן ליצור תיקיה: %1"
"Unable to save file: %1","Unable to save file: %1"
"Storage Configuration for Media","הגדרת אחסון עבור מדיה"
"Media Storage","אחסון מדיה"
"Select Media Database","בחר מסד הנתונים מדיה"
"After selecting a new media storage location, press the Synchronize button to transfer all media to that location. Media will not be available in the new location until the synchronization process is complete.","After selecting a new media storage location, press the Synchronize button to transfer all media to that location. Media will not be available in the new location until the synchronization process is complete."
"Environment Update Time","זמן עדכון סביבה"
"The ""%1"" file doesn't exist. Verify the file and try again.","The ""%1"" file doesn't exist. Verify the file and try again."
"Cannot resize image ""%1"" - original image not found","Cannot resize image ""%1"" - original image not found"
"Cannot resize images - product images not found","Cannot resize images - product images not found"
