"Synchronize","Synchroniseren"
"Synchronizing %1 to %2","Synchroniseren %s tot %s"
"Synchronizing...","Synchroniseren..."
"The timeout limit for response from synchronize process was reached.","Timeout limiet voor synchronisatieproces is bereikt."
"File %1 does not exist","File %1 does not exist"
"File %1 is not readable","Bestand %s is niet leesbaar"
"File System","Bestandsysteem"
"Database","Database"
"database ""%1""","database ""%1"""
"Parent directory does not exist: %1","Bovenliggende map bestaat niet: %1"
"File system","Bestandssysteem"
"Unable to save file ""%1"" at ""%2""","Niet mogelijk om bestand ""%s"" op te slaan in ""%s"""
"Wrong file info format","Verkeerd bestand-informatie formaat"
"Path ""%value%"" is protected and cannot be used.","Pad ""%value%"" is beveiligd en kan niet worden gebruikt."
"Path ""%value%"" is not available and cannot be used.","Pad ""%value%"" is niet beschikbaar en kan niet gebruikt worden."
"Path ""%value%"" may not include parent directory traversal (""../"", "".."").","Path ""%value%"" may not include parent directory traversal (""../"", "".."")."
"Please set available and/or protected paths list(s) before validation.","Stel de beschikbare en/of beveiligde paden in voordat je valideert."
"File with an extension ""%value%"" is protected and cannot be uploaded","Bestand met een extensie ""%value%"" is beveiligd en kan niet worden geüpload."
"Unable to create directory: %1","Niet in staat om de map te maken: %1"
"Unable to save file: %1","Niet in staat om het bestand op te slaan: %1"
"Storage Configuration for Media","Opslaglocatie voor mediabestanden"
"Media Storage","Media opslag"
"Select Media Database","Selecteer mediadatabase"
"After selecting a new media storage location, press the Synchronize button to transfer all media to that location. Media will not be available in the new location until the synchronization process is complete.","After selecting a new media storage location, press the Synchronize button to transfer all media to that location. Media will not be available in the new location until the synchronization process is complete."
"Environment Update Time","Updatetijd omgeving"
"The ""%1"" file doesn't exist. Verify the file and try again.","The ""%1"" file doesn't exist. Verify the file and try again."
"Cannot resize image ""%1"" - original image not found","Cannot resize image ""%1"" - original image not found"
"Cannot resize images - product images not found","Cannot resize images - product images not found"
