"We can't find the role for the user you wanted.","We can't find the role for the user you wanted."
"Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.","Beim kompilieren einer Liste von erlaubten Resourcen ist ein Fehler aufgetreten. Weitere Informationen finden Sie im Exception-Log."
"The role wasn't found for the user. Verify the role and try again.","Für den Benutzer wurde diese Rolle nicht gefunden. Bitte überprüfen Sie die Benutzerrolle und versuchen Sie es erneut."
