"We can't find the role for the user you wanted.","We can't find the role for the user you wanted."
"Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.","Ruxsat etilgan resurslar ro'yxatini tuzayotganda, biror narsa noto'g'ri ketdi. Istisno jurnalida ko'proq ma'lumot olishingiz mumkin."
"The role wasn't found for the user. Verify the role and try again.","The role wasn't found for the user. Verify the role and try again."
