"We can't find the role for the user you wanted.","We can't find the role for the user you wanted."
"Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.","Что-то пошло не так во время компиляции списка разрешенных ресурсов. Вы можете узнать больше информации в журнале исключений."
"The role wasn't found for the user. Verify the role and try again.","The role wasn't found for the user. Verify the role and try again."
