"We can't find the role for the user you wanted.","No podemos encontrar el rol para el usuario que querías."
"Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.","Algo salió mal mientras se compila una lista de recursos permitidos. Puede encontrar más información en el registro de excepciones."
"The role wasn't found for the user. Verify the role and try again.","El rol no se encontró para el usuario. Verifique el rol y vuelva a intentarlo."
