"We can't find the role for the user you wanted.","Не можемо пронаћи улогу за траженог корисника."
"Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.","Нешто је кренуло наопако за време састављања листе дозвољених ресурса. Више о грешкама можете погледати у евиденцији грешки."
"The role wasn't found for the user. Verify the role and try again.","Улога за корисника није пронађена. Проверите улогу и покушајте поново."
