"We can't find the role for the user you wanted.","Me ei leia sellele kasutajale otsitud rolli."
"Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.","Midagi läks valesti. Kompileerisime listi lubatud ressurssidest. Rohkem infot erandite (exceptions) logist."
"The role wasn't found for the user. Verify the role and try again.","The role wasn't found for the user. Verify the role and try again."
