"We can't find the role for the user you wanted.","No se puede encontrar el role para el usuario deseado."
"Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.","Algo salió mal mientras se compilaba una lista de recursos permitidos. Puedes encontrar más información en el registro de excepciones."
"The role wasn't found for the user. Verify the role and try again.","El cargo no se ha encontrado para el usuario. Verifica el cargo y prueba de nuevo."
