"We can't find the role for the user you wanted.","We can't find the role for the user you wanted."
"Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.","Нещо се обърка при съставянето на списък на разрешените ресурси. Можете да намерите повече информация в регистрационния файл на изключения."
"The role wasn't found for the user. Verify the role and try again.","Ролята не е намерена за този потребител. Проверете ролята и опитайте отново."
