"We can't find the role for the user you wanted.","We can't find the role for the user you wanted."
"Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.","Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log."
"The role wasn't found for the user. Verify the role and try again.","ಬಳಕೆದಾರರಿಗೆ ಹುದ್ದೆ ಕಂಡುಬಂದಿಲ್ಲ. ಹುದ್ದೆಯನ್ನು ಪರಿಶೀಲಿಸಿ ಮತ್ತು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ."
