"We can't find the role for the user you wanted.","Wir können die gewünschte Benutzerrolle nicht finden."
"Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.","Beim kompilieren einer Liste von erlaubten Resourcen ist ein Fehler aufgetreten. Weitere Informationen finden Sie im Exception-Log."
"The role wasn't found for the user. Verify the role and try again.","Die Rolle für den Benutzer wurde nicht gefunden. Bitte überprüfen Sie die Benutzerrolle und versuchen Sie es erneut."
