"We can't find the role for the user you wanted.","We can't find the role for the user you wanted."
"Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.","허용된 리소스 리스트를 컴파일하는 도중 문제가 발생했습니다. 예외 로그에서 더 많은 정보를 찾을 수 있습니다."
"The role wasn't found for the user. Verify the role and try again.","The role wasn't found for the user. Verify the role and try again."
