"We can't find the role for the user you wanted.","Nu găsim rolul pentru utilizatorul pe care l-ai dorit."
"Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.","Ceva nu a mers bine în timpul compilării unei liste de resurse permise. Poți afla mai multe în jurnalul de excepții."
"The role wasn't found for the user. Verify the role and try again.","Rolul nu a fost găsit pentru utilizator. Verificați rolul și încercați din nou."
