"We can't find the role for the user you wanted.","We can't find the role for the user you wanted."
"Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.","Coś poszło nie tak podczas kompilowania listy dozwolonych zasobów. Więcej informacji znajdziesz w dzienniku działań."
"The role wasn't found for the user. Verify the role and try again.","Nie została odnaleziona rola dla tego użytkownika. Zweryfikuj rolę i spróbuj ponownie."
