"We can't find the role for the user you wanted.","We can't find the role for the user you wanted."
"Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.","Nešto je krenulo naopako za vreme sastavljanja liste dozvoljenih resursa. Više o greškama možete pogledati u evidenciji greški."
"The role wasn't found for the user. Verify the role and try again.","Uloga za korisnika nije pronađena. Proverite ulogu i pokušajte ponovo."
