"We can't find the role for the user you wanted.","We can't find the role for the user you wanted."
"Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.","許可されたリソースのリストをコンパイリング中に問題が発生しました。例外ログにて詳細が見つかります。"
"The role wasn't found for the user. Verify the role and try again.","ユーザのアクセス権が確認できませんでした。権限の設定を確認して再度お試し下さい。"
