"We can't find the role for the user you wanted.","We can't find the role for the user you wanted."
"Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.","İzin verilen kaynaklar listesi derleme sırasında bir şeyler ters gitti. Özel durumlar günlüğünde daha fazla bilgi bulabilirsiniz."
"The role wasn't found for the user. Verify the role and try again.","Kullanıcı için rol bulunamadı. Rolü doğrulayın ve tekrar deneyin."
