"We can't find the role for the user you wanted.","ما نمیتوانیم نقش کاربر مورد نظر خود را پیدا کنیم."
"Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.","هنگام کامپایل لیستی از منابع مجاز اشتباهی رخ داد. برای مشاهده جزئیات بیشتر به لیست استثنائات مراجعه کنید."
"The role wasn't found for the user. Verify the role and try again.","The role wasn't found for the user. Verify the role and try again."
