"We can't find the role for the user you wanted.","We can't find the role for the user you wanted."
"Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.","Alguna cosa ha anat malament mentre es compilava una llista de recursos habilitats. Més informació al registre d'excepcions."
"The role wasn't found for the user. Verify the role and try again.","The role wasn't found for the user. Verify the role and try again."
