"Apply","Alkalmazás"
"Please choose a valid discount amount.","Kérjük válasszon egy érvényes kedvezményt."
"End Date must follow Start Date.","A záró dátumnak a kezdő dátum után kell következnie."
"Please specify a website.","Kérem adjon meg egy weblapot."
"Please specify Customer Groups.","Kérem adjon meg egy vásárlói csoportot."
"to","eddig"
"by","készítette"
"Please choose an action to add.","Kérem válasszon egy műveletet a hozzáadáshoz."
"Perform following actions","Végezze el a következő műveleteket"
"is","is"
"is not","is not"
"equals or greater than","egyenlő vagy nagyobb, mint"
"equals or less than","kisebb vagy egyenlő, mint"
"greater than","nagyobb, mint"
"less than","kisebb, mint"
"contains","tartalmaz"
"does not contain","nem tartalmaz"
"is one of","egy ebből:"
"is not one of","nem egy ebből:"
"Please choose a condition to add.","Válasszon feltételt."
"Add","Hozzáadás"
"Remove","Eltávolítás"
"ALL","MIND"
"ANY","BÁRMELYIK"
"TRUE","IGAZ"
"FALSE","HAMIS"
"If %1 of these conditions are %2:","Ha %1 ezek közül a feltételek közül %2:"
"Conditions Combination","Feltételegyüttes"
"Attribute Set","Jellemző halmaz"
"Category","Kategória"
"Open Chooser","Választó megnyitása"
"Unknown condition operator","Ismeretlen feltétel operátor"
"There is no information about associated entity type ""%1"".","Nincs információ a hozzárendelt entitás típusról ""%1""."
"This won't take long . . .","This won't take long . . ."
"Please specify valid %1.","Please specify valid %1."
"is undefined","is undefined"
