"Apply","적용"
"Please choose a valid discount amount.","Please choose a valid discount amount."
"End Date must follow Start Date.","End Date must follow Start Date."
"Please specify a website.","Please specify a website."
"Please specify Customer Groups.","Please specify Customer Groups."
"to","to"
"by","기준"
"Please choose an action to add.","Please choose an action to add."
"Perform following actions","Perform following actions"
"is","is"
"is not","is not"
"equals or greater than","equals or greater than"
"equals or less than","equals or less than"
"greater than","greater than"
"less than","less than"
"contains","contains"
"does not contain","does not contain"
"is one of","is one of"
"is not one of","is not one of"
"Please choose a condition to add.","추가할 조건을 선택해 주십시오."
"Add","추가"
"Remove","삭제"
"ALL","ALL"
"ANY","ANY"
"TRUE","TRUE"
"FALSE","FALSE"
"If %1 of these conditions are %2:","If %1 of these conditions are %2:"
"Conditions Combination","조건 조합"
"Attribute Set","어트리뷰트 세트"
"Category","카테고리"
"Open Chooser","Open Chooser"
"Unknown condition operator","Unknown condition operator"
"There is no information about associated entity type ""%1"".","There is no information about associated entity type ""%1""."
"This won't take long . . .","오래 걸리지 않습니다."
"Please specify valid %1.","Please specify valid %1."
"is undefined","is undefined"
