"Apply","Toepassen"
"Please choose a valid discount amount.","Kies een geldig kortingsbedrag."
"End Date must follow Start Date.","Einddatum moet later zijn dan begindatum."
"Please specify a website.","Geef een website op."
"Please specify Customer Groups.","Geef klantgroepen op."
"to","naar"
"by","door"
"Please choose an action to add.","Kies een actie om toe te voegen."
"Perform following actions","Voer de volgende acties uit"
"is","is"
"is not","is niet"
"equals or greater than","gelijk aan of groter dan"
"equals or less than","gelijk aan of minder dan"
"greater than","groter dan"
"less than","kleiner dan"
"contains","bevat"
"does not contain","bevat niet"
"is one of","behoort tot"
"is not one of","behoort niet tot"
"Please choose a condition to add.","Kies een voorwaarde om toe te voegen."
"Add","Toevoegen"
"Remove","Verwijder"
"ALL","ALLE"
"ANY","ÉÉN OF MEERDERE"
"TRUE","WAAR"
"FALSE","NIET WAAR"
"If %1 of these conditions are %2:","Als %1 van deze voorwaarden %2 zijn:"
"Conditions Combination","Voorwaardencombinatie"
"Attribute Set","Attributenset"
"Category","Categorie"
"Open Chooser","Kiezer openen"
"Unknown condition operator","Onbekende condition operator"
"There is no information about associated entity type ""%1"".","Er is geen informatie over de geassocieerde entiteit-typen ""%1""."
"This won't take long . . .","Dit duurt maar even . . ."
"Please specify valid %1.","Please specify valid %1."
"is undefined","is undefined"
