"Apply","Käytä"
"Please choose a valid discount amount.","Valitse kelvollinen alennussumma."
"End Date must follow Start Date.","Päättymispäivän on seurattava aloituspäivämäärää."
"Please specify a website.","Ole hyvä ja määritä sivusto."
"Please specify Customer Groups.","Määritä asiakasryhmät."
"to","asti"
"by","by"
"Please choose an action to add.","Please choose an action to add."
"Perform following actions","Perform following actions"
"is","on"
"is not","ei ole"
"equals or greater than","yhtä suuri tai suurempi kuin"
"equals or less than","yhtä suuri tai vähemmän kuin"
"greater than","suurempi kuin"
"less than","vähemmän kuin"
"contains","sisältää"
"does not contain","ei sisällä"
"is one of","is one of"
"is not one of","is not one of"
"Please choose a condition to add.","Valitse Lisättävä ehto."
"Add","Lisää"
"Remove","Poista"
"ALL","KAIKKI"
"ANY","MIKÄ TAHANSA"
"TRUE","TOTTA"
"FALSE","FALSE"
"If %1 of these conditions are %2:","If %1 of these conditions are %2:"
"Conditions Combination","Ehtojen yhdistäminen"
"Attribute Set","Attribuuttiryhmä"
"Category","Kategoria"
"Open Chooser","Avaa valitsin"
"Unknown condition operator","Unknown condition operator"
"There is no information about associated entity type ""%1"".","There is no information about associated entity type ""%1""."
"This won't take long . . .","Tämä ei kestä kauan. . ."
"Please specify valid %1.","Please specify valid %1."
"is undefined","is undefined"
