"Apply","החל"
"Please choose a valid discount amount.","יש לבחור סכום חוקי להנחה."
"End Date must follow Start Date.","על תאריך הסיום להיות לאחר תאריך ההתחלה."
"Please specify a website.","יש לציין אתר."
"Please specify Customer Groups.","יש לציין קבוצת לקוחות."
"to","אל"
"by","על ידי"
"Please choose an action to add.","יש לבחור פעולה להוספה."
"Perform following actions","ביצוע הפעולות להלן"
"is","הוא"
"is not","איננו"
"equals or greater than","שווה או גדול מ-"
"equals or less than","שווה או פחות מ-"
"greater than","גדול מ-"
"less than","פחות מ-"
"contains","מכיל"
"does not contain","אינו מכיל"
"is one of","הוא אחד מ-"
"is not one of","אינו אחד מ-"
"Please choose a condition to add.","יש לבחור בתנאי להוספה."
"Add","הוספה"
"Remove","הסר"
"ALL","הכל"
"ANY","כל"
"TRUE","נכון"
"FALSE","שווא"
"If %1 of these conditions are %2:","אם ב%1 מתנאים אלה מתקיים %2:"
"Conditions Combination","שילוב תנאים"
"Attribute Set","קבוצת תכונות"
"Category","קטגוריה"
"Open Chooser","לבחירה"
"Unknown condition operator","ביטוי לא מוכר בתנאי"
"There is no information about associated entity type ""%1"".","חסר מידע לגבי סוג הישות המשוייכת ""%1""."
"This won't take long . . .","זה לא ייקח הרבה זמן . . ."
"Please specify valid %1.","Please specify valid %1."
"is undefined","is undefined"
