"Apply","Rakenda"
"Please choose a valid discount amount.","Valige kehtiv allahindluse määr."
"End Date must follow Start Date.","End Date must follow Start Date."
"Please specify a website.","Määrake veebisait."
"Please specify Customer Groups.","Määrake kliendigruppe."
"to","to"
"by","by"
"Please choose an action to add.","Please choose an action to add."
"Perform following actions","Teosta järgmised toimingud"
"is","on"
"is not","pole"
"equals or greater than","equals or greater than"
"equals or less than","equals or less than"
"greater than","suurem kui"
"less than","väiksem kui"
"contains","contains"
"does not contain","does not contain"
"is one of","kuulub"
"is not one of","ei kuulu"
"Please choose a condition to add.","Palun valige lisatav tingimus."
"Add","Lisa"
"Remove","Eemalda"
"ALL","KÕIK"
"ANY","MÕNI"
"TRUE","ÕIGE"
"FALSE","VALE"
"If %1 of these conditions are %2:","If %1 of these conditions are %2:"
"Conditions Combination","Tingimuste kombinatsioon"
"Attribute Set","Atribuudikogum"
"Category","Kategooria"
"Open Chooser","Open Chooser"
"Unknown condition operator","Unknown condition operator"
"There is no information about associated entity type ""%1"".","There is no information about associated entity type ""%1""."
"This won't take long . . .","This won't take long . . ."
"Please specify valid %1.","Please specify valid %1."
"is undefined","is undefined"
