"Apply","Applica"
"Please choose a valid discount amount.","Scegli un importo sconto valido."
"End Date must follow Start Date.","La data di fine deve seguire la data di inizio."
"Please specify a website.","Si prega di specificare un website."
"Please specify Customer Groups.","Specifica i gruppi clienti."
"to","a"
"by","da"
"Please choose an action to add.","Scegli un'azione da aggiungere."
"Perform following actions","Eseguire la seguenti azioni"
"is","è"
"is not","non è"
"equals or greater than","è uguale o maggiore di"
"equals or less than","è uguale o inferiore a"
"greater than","maggiore di"
"less than","minore di"
"contains","contiene"
"does not contain","non contiene"
"is one of","è uno di"
"is not one of","non è uno di"
"Please choose a condition to add.","Si prega di scegliere una condizione da aggiungere."
"Add","Aggiungi"
"Remove","Elimina"
"ALL","TUTTI"
"ANY","QUALSIASI"
"TRUE","VERO"
"FALSE","FALSO"
"If %1 of these conditions are %2:","Se %1 di queste condizioni sono %2:"
"Conditions Combination","Combinazione di condizioni"
"Attribute Set","Set di attributi"
"Category","Categoria"
"Open Chooser","Selezione aperta"
"Unknown condition operator","Operatore condizione sconosciuto"
"There is no information about associated entity type ""%1"".","Non c'è nessuna informazione sul tipo di entità associato ""%1""."
"This won't take long . . .","Non ci vorrà molto . . ."
"Please specify valid %1.","Please specify valid %1."
"is undefined","is undefined"
