"Apply","Aplicar"
"Please choose a valid discount amount.","Por favor, elija un monto de descuento válido."
"End Date must follow Start Date.","Fecha de finalización debe ser posterior a la fecha de inicio."
"Please specify a website.","Por favor especifique un sitio Web."
"Please specify Customer Groups.","Por favor especificar Grupos de Clientes."
"to","hasta"
"by","por"
"Please choose an action to add.","Por favor, elige una opción para añadir."
"Perform following actions","Realizar las siguientes acciones"
"is","es"
"is not","no es"
"equals or greater than","es igual o mayor que"
"equals or less than","es igual o menor que"
"greater than","mayor que"
"less than","menor que"
"contains","contiene"
"does not contain","no contiene"
"is one of","es uno de"
"is not one of","no es uno de"
"Please choose a condition to add.","Por favor, elige una condición para añadir."
"Add","Agregar"
"Remove","Quitar"
"ALL","TODOS"
"ANY","CUALQUIERA"
"TRUE","VERDADERO"
"FALSE","FALSO"
"If %1 of these conditions are %2:","Si %1 de estas condiciones son %2:"
"Conditions Combination","Combinación de condiciones"
"Attribute Set","Conjunto de atributos"
"Category","Categoría"
"Open Chooser","Abrir el buscador"
"Unknown condition operator","Operador de condición desconocido"
"There is no information about associated entity type ""%1"".","No hay información acerca del tipo de entidad asociada ""%1""."
"This won't take long . . .","Esto no tarda mucho..."
"Please specify valid %1.","Por favor especifique un válido %1."
"is undefined","no está definido"
