"Apply","Primeni"
"Please choose a valid discount amount.","Unesite ispravan iznos popusta."
"End Date must follow Start Date.","Kraj Datum must follow Početak Datum."
"Please specify a website.","Navedite Web lokaciju."
"Please specify Customer Groups.","Izaberite grupu kupaca."
"to","do"
"by","od strane"
"Please choose an action to add.","Odaberite akciju koju ćete dodati."
"Perform following actions","Izvrši sledeće akcije"
"is","je"
"is not","nije"
"equals or greater than","jednako ili veće od"
"equals or less than","manje ili jednako od"
"greater than","veće od"
"less than","manje od"
"contains","sadrži"
"does not contain","ne sadrži"
"is one of","ako je jedan od"
"is not one of","ako nije jedan od"
"Please choose a condition to add.","Molimo odaberite koji ćete uslov dodati."
"Add","Dodaj"
"Remove","Ukloni"
"ALL","Svi"
"ANY","Bilo koji"
"TRUE","Tačno"
"FALSE","Netačno"
"If %1 of these conditions are %2:","If %1 of these conditions are %2:"
"Conditions Combination","Uslovi Kombinacije"
"Attribute Set","Skup atributa"
"Category","Kategorija"
"Open Chooser","Otvori Chooser"
"Unknown condition operator","Nepoznat operator uslova"
"There is no information about associated entity type ""%1"".","Nema informacija o pridruženom tipu entiteta ""%1""."
"This won't take long . . .","This won't take long . . ."
"Please specify valid %1.","Molimo navedite valid %1."
"is undefined","is undefined"
